,lat,long,type
340,37.48511383,126.9903726,bus
341,37.49760255,126.9873768,bus
342,37.4940362,126.9958473,bus
343,37.48783968,127.0262997,bus
344,37.50263929,126.9953793,bus
345,37.47162907,127.0307875,bus
346,37.48215661,127.0046458,bus
347,37.50240543,127.0140206,bus
348,37.47927524,126.9909637,bus
349,37.48411825,126.99101,bus
350,37.48937563,126.9924232,bus
351,37.49538969,126.9980919,bus
352,37.48968844,127.0276542,bus
353,37.50461922,127.0003806,bus
354,37.47477858,127.0327908,bus
355,37.48003819,127.0056558,bus
356,37.50213358,127.0145893,bus
357,37.50162521,127.0158198,bus
358,37.48802013,127.0321697,bus
359,37.46748578,127.0280572,bus
360,37.48008758,126.9934297,bus
361,37.48291057,126.9917829,bus
362,37.4962279,126.9982386,bus
363,37.45538849,127.0591759,bus
364,37.50544757,127.0032182,bus
365,37.4553828,127.0597064,bus
366,37.47636888,127.0359931,bus
367,37.47828578,127.0064916,bus
368,37.50135616,127.0161919,bus
369,37.50244086,127.0141431,bus
370,37.45428027,127.0614188,bus
371,37.49162068,127.025389,bus
372,37.46931271,127.0268444,bus
373,37.4811283,126.9966477,bus
374,37.48185977,126.9924557,bus
375,37.49790039,126.9983651,bus
376,37.4544632,127.0616063,bus
377,37.50656992,127.0068289,bus
378,37.45436376,127.0634204,bus
379,37.47708307,126.9896418,bus
380,37.50099434,127.0170378,bus
381,37.45462988,127.0642848,bus
382,37.46931938,127.0377532,bus
383,37.48031901,126.9941518,bus
384,37.49917303,126.9984091,bus
385,37.49770903,127.0265568,bus
386,37.50622629,127.0094795,bus
387,37.47582328,127.0030234,bus
388,37.47632657,126.9892633,bus
389,37.48254178,126.9874673,bus
390,37.50064345,127.0180344,bus
391,37.50559375,127.0100307,bus
392,37.4895452,127.0184907,bus
393,37.47291036,127.0383584,bus
394,37.49997835,126.9984241,bus
395,37.50061052,127.0000257,bus
396,37.50185359,127.0116748,bus
397,37.45256613,127.055934,bus
398,37.47653133,127.0009305,bus
399,37.48347661,126.9868912,bus
400,37.50037934,127.0187846,bus
401,37.50928864,127.008015,bus
402,37.48890917,127.0163947,bus
403,37.47745646,127.0374964,bus
404,37.4997253,127.0229163,bus
405,37.50015664,127.0120896,bus
406,37.47199459,127.0457357,bus
407,37.47835052,126.999708,bus
408,37.48465775,126.9861644,bus
409,37.49742359,127.0203557,bus
410,37.51189763,127.0094436,bus
411,37.48792307,127.0130776,bus
412,37.4798279,126.9922051,bus
413,37.4994942,127.0040074,bus
414,37.49806206,127.0126025,bus
415,37.48094798,126.9980238,bus
416,37.47867895,126.9891713,bus
417,37.49795623,127.0045251,bus
418,37.504381,127.020458,bus
419,37.45230773,127.0555489,bus
420,37.48219316,126.9972005,bus
421,37.47454216,126.9929113,bus
422,37.48554488,126.9828873,bus
423,37.51530627,127.0196357,bus
424,37.49543754,127.0178315,bus
425,37.49127231,127.0080559,bus
426,37.47831974,127.0085899,bus
427,37.47812867,126.9880961,bus
428,37.50198276,127.0217384,bus
429,37.48098086,127.0419441,bus
430,37.47722593,127.0370105,bus
431,37.4857972,126.9948579,bus
432,37.510252,127.021527,bus
433,37.51320269,127.0131933,bus
434,37.44906728,127.0552806,bus
435,37.4806956,127.013496,bus
436,37.47743161,126.9868682,bus
437,37.51147449,127.0068325,bus
438,37.49155305,127.006517,bus
439,37.50051916,127.0224257,bus
440,37.44874132,127.0554112,bus
441,37.48680319,126.9942165,bus
442,37.47262395,127.029738,bus
443,37.47055154,127.0300614,bus
444,37.46248005,127.0226231,bus
